"Campaign name",Day,"Ad Set Name","Attribution setting","Result type",Results,Reach,Impressions,"Amount spent (USD)","Link clicks",Frequency,"Reporting starts","Reporting ends"
"C | Medwriter - 2025 July 25 - Stork",2025-07-27,,"7-day click or 1-day view",presignup_demo_booked,1,849,917,34.95,9,1.08009423,2025-07-27,2025-07-27
"RC | Medwriter - June 25",2025-07-27,,"7-day click or 1-day view",,,216,243,36.2,5,1.125,2025-07-27,2025-07-27
"T | Medwriter - 2025 May 25",2025-07-27,,"7-day click or 1-day view","Link clicks",7,1657,1678,3.53,7,1.01267351,2025-07-27,2025-07-27
"A | Medwriter - 2025 May 25",2025-07-27,,"7-day click or 1-day view",Reach,1420,1420,1624,3.13,,1.14366197,2025-07-27,2025-07-27
"C | Medwriter - 2024 April",2025-07-27,,"7-day click or 1-day view",,,817,960,57.26,18,1.1750306,2025-07-27,2025-07-27
"T | Medwriter - 2025 May 25",2025-07-26,,"7-day click or 1-day view","Link clicks",9,625,637,2.93,9,1.0192,2025-07-26,2025-07-26
"A | Medwriter - 2025 May 25",2025-07-26,,"7-day click or 1-day view",Reach,2017,2017,2249,4.59,1,1.11502231,2025-07-26,2025-07-26
"C | Medwriter - 2024 April",2025-07-26,,"7-day click or 1-day view",,,451,523,39.85,6,1.15964523,2025-07-26,2025-07-26
"RC | Medwriter - June 25",2025-07-26,,"7-day click or 1-day view",,,110,114,17.08,,1.03636364,2025-07-26,2025-07-26
"C | Medwriter - 2025 July 25 - Set 14",2025-07-26,,"7-day click or 1-day view",,,687,831,26.64,8,1.20960699,2025-07-26,2025-07-26
"C | Medwriter - 2025 July 25 - Stork",2025-07-26,,"7-day click or 1-day view",,,782,864,26.06,8,1.10485934,2025-07-26,2025-07-26
"C | Medwriter - 2025 July 25 - Set 14",2025-07-25,,"7-day click or 1-day view",presignup_demo_booked,1,703,840,28.49,10,1.19487909,2025-07-25,2025-07-25
"C | Medwriter - 2025 July 25 - Stork",2025-07-25,,"7-day click or 1-day view",,,885,1010,29.31,5,1.14124294,2025-07-25,2025-07-25
"RC | Medwriter - June 25",2025-07-25,,"7-day click or 1-day view",,,198,216,31.71,1,1.09090909,2025-07-25,2025-07-25
"T | Medwriter - 2025 May 25",2025-07-25,,"7-day click or 1-day view","Link clicks",19,1577,1577,3.54,19,1,2025-07-25,2025-07-25
"A | Medwriter - 2025 May 25",2025-07-25,,"7-day click or 1-day view",Reach,1982,1982,2089,4.43,,1.05398587,2025-07-25,2025-07-25
"C | Medwriter - 2024 April",2025-07-25,,"7-day click or 1-day view",,,710,837,51.37,13,1.17887324,2025-07-25,2025-07-25
"T | Medwriter - 2025 May 25",2025-07-24,,"7-day click or 1-day view","Link clicks",6,907,1025,3.29,6,1.13009923,2025-07-24,2025-07-24
"C | Medwriter - 2024 April",2025-07-24,,"7-day click or 1-day view",,,835,950,45.47,7,1.13772455,2025-07-24,2025-07-24
"A | Medwriter - 2025 May 25",2025-07-24,,"7-day click or 1-day view",Reach,1989,1989,1989,4.15,2,1,2025-07-24,2025-07-24
"C | Medwriter - 2025 July 25 - Stork",2025-07-24,,"7-day click or 1-day view",,,961,1043,28.2,9,1.08532778,2025-07-24,2025-07-24
"RC | Medwriter - June 25",2025-07-24,,"7-day click or 1-day view",,,251,281,27.43,3,1.11952191,2025-07-24,2025-07-24
"C | Medwriter - 2025 July 25 - Set 14",2025-07-24,,"7-day click or 1-day view",presignup_demo_booked,1,775,913,27.4,7,1.17806452,2025-07-24,2025-07-24
"C | Medwriter - 2025 July 25 - Set 14",2025-07-23,,"7-day click or 1-day view",,,917,1089,29.27,9,1.18756816,2025-07-23,2025-07-23
"C | Medwriter - 2025 July 25 - Stork",2025-07-23,,"7-day click or 1-day view",presignup_demo_booked,1,1090,1221,29.95,13,1.12018349,2025-07-23,2025-07-23
"RC | Medwriter - June 25",2025-07-23,,"7-day click or 1-day view",,,243,278,24.8,1,1.14403292,2025-07-23,2025-07-23
"T | Medwriter - 2025 May 25",2025-07-23,,"7-day click or 1-day view","Link clicks",5,630,631,3.13,5,1.0015873,2025-07-23,2025-07-23
"A | Medwriter - 2025 May 25",2025-07-23,,"7-day click or 1-day view",Reach,3746,3746,3746,0.73,,1,2025-07-23,2025-07-23
"C | Medwriter - 2024 April",2025-07-23,,"7-day click or 1-day view",,,931,1043,48.68,9,1.12030075,2025-07-23,2025-07-23
"RC | Medwriter - June 25",2025-07-22,,"7-day click or 1-day view",,,205,228,29.92,4,1.11219512,2025-07-22,2025-07-22
"T | Medwriter - 2025 May 25",2025-07-22,,"7-day click or 1-day view","Link clicks",8,1223,1223,2.91,8,1,2025-07-22,2025-07-22
"A | Medwriter - 2025 May 25",2025-07-22,,"7-day click or 1-day view",Reach,9687,9687,9687,1.85,,1,2025-07-22,2025-07-22
"C | Medwriter - 2025 July 25 - Stork",2025-07-22,,"7-day click or 1-day view",,,1269,1396,30.88,15,1.1000788,2025-07-22,2025-07-22
"C | Medwriter - 2025 July 25 - Set 14",2025-07-22,,"7-day click or 1-day view",,,903,1046,30.84,9,1.15836102,2025-07-22,2025-07-22
"C | Medwriter - 2024 April",2025-07-22,,"7-day click or 1-day view",,,1028,1172,49.61,3,1.14007782,2025-07-22,2025-07-22
